Week,panic attack
2018-06-17,80
2018-06-24,54
2018-07-01,68
2018-07-08,74
2018-07-15,79
2018-07-22,69
2018-07-29,59
2018-08-05,63
2018-08-12,53
2018-08-19,84
2018-08-26,70
2018-09-02,75
2018-09-09,58
2018-09-16,80
2018-09-23,71
2018-09-30,63
2018-10-07,64
2018-10-14,71
2018-10-21,94
2018-10-28,77
2018-11-04,76
2018-11-11,91
2018-11-18,75
2018-11-25,84
2018-12-02,77
2018-12-09,68
2018-12-16,68
2018-12-23,81
2018-12-30,76
2019-01-06,74
2019-01-13,61
2019-01-20,79
2019-01-27,67
2019-02-03,62
2019-02-10,100
2019-02-17,49
2019-02-24,70
2019-03-03,68
2019-03-10,69
2019-03-17,74
2019-03-24,80
2019-03-31,79
2019-04-07,82
2019-04-14,78
2019-04-21,71
2019-04-28,85
2019-05-05,79
2019-05-12,78
