Week,anxiety
2018-06-17,74
2018-06-24,83
2018-07-01,72
2018-07-08,75
2018-07-15,75
2018-07-22,77
2018-07-29,81
2018-08-05,81
2018-08-12,79
2018-08-19,79
2018-08-26,79
2018-09-02,78
2018-09-09,81
2018-09-16,88
2018-09-23,89
2018-09-30,88
2018-10-07,84
2018-10-14,100
2018-10-21,95
2018-10-28,97
2018-11-04,98
2018-11-11,89
2018-11-18,90
2018-11-25,89
2018-12-02,92
2018-12-09,86
2018-12-16,78
2018-12-23,71
2018-12-30,80
2019-01-06,87
2019-01-13,93
2019-01-20,97
2019-01-27,91
2019-02-03,85
2019-02-10,86
2019-02-17,87
2019-02-24,94
2019-03-03,92
2019-03-10,89
2019-03-17,86
2019-03-24,94
2019-03-31,95
2019-04-07,87
2019-04-14,80
2019-04-21,79
2019-04-28,88
2019-05-05,83
2019-05-12,80
