Week,mental health
2018-06-17,48
2018-06-24,42
2018-07-01,38
2018-07-08,40
2018-07-15,38
2018-07-22,49
2018-07-29,39
2018-08-05,40
2018-08-12,40
2018-08-19,40
2018-08-26,41
2018-09-02,44
2018-09-09,49
2018-09-16,52
2018-09-23,56
2018-09-30,57
2018-10-07,81
2018-10-14,56
2018-10-21,55
2018-10-28,58
2018-11-04,62
2018-11-11,54
2018-11-18,59
2018-11-25,61
2018-12-02,55
2018-12-09,52
2018-12-16,44
2018-12-23,23
2018-12-30,36
2019-01-06,54
2019-01-13,62
2019-01-20,63
2019-01-27,100
2019-02-03,58
2019-02-10,51
2019-02-17,56
2019-02-24,55
2019-03-03,58
2019-03-10,52
2019-03-17,56
2019-03-24,59
2019-03-31,61
2019-04-07,60
2019-04-14,46
2019-04-21,51
2019-04-28,67
2019-05-05,65
2019-05-12,57
