Week,ocd
2018-06-17,79
2018-06-24,68
2018-07-01,75
2018-07-08,71
2018-07-15,77
2018-07-22,74
2018-07-29,61
2018-08-05,68
2018-08-12,87
2018-08-19,67
2018-08-26,80
2018-09-02,63
2018-09-09,63
2018-09-16,70
2018-09-23,81
2018-09-30,62
2018-10-07,77
2018-10-14,93
2018-10-21,89
2018-10-28,83
2018-11-04,100
2018-11-11,91
2018-11-18,65
2018-11-25,93
2018-12-02,74
2018-12-09,77
2018-12-16,69
2018-12-23,55
2018-12-30,87
2019-01-06,71
2019-01-13,75
2019-01-20,77
2019-01-27,89
2019-02-03,93
2019-02-10,74
2019-02-17,76
2019-02-24,86
2019-03-03,88
2019-03-10,92
2019-03-17,78
2019-03-24,82
2019-03-31,100
2019-04-07,97
2019-04-14,82
2019-04-21,73
2019-04-28,66
2019-05-05,73
2019-05-12,68
