Week,depression,anxiety,obsessive compulsive disorder,ocd,insomnia,panic attack,mental health,counseling,psychiatrist
2019-06-16,81,77,37,71,77,79,56,62,75
2019-06-23,70,73,96,61,73,76,50,76,61
2019-06-30,67,75,32,72,66,55,44,62,69
2019-07-07,70,73,57,71,63,80,53,69,75
2019-07-14,76,76,51,68,71,80,49,69,86
2019-07-21,69,88,60,66,69,94,48,65,69
2019-07-28,67,81,60,76,82,86,44,70,73
2019-08-04,68,76,30,66,66,75,43,52,48
2019-08-11,70,84,57,72,73,72,48,67,83
2019-08-18,67,78,57,75,99,66,48,56,68
2019-08-25,69,79,37,65,95,62,48,70,69
2019-09-01,66,81,36,69,78,64,42,71,81
2019-09-08,79,87,47,82,72,77,60,91,68
2019-09-15,75,91,47,69,74,86,63,75,71
2019-09-22,75,96,87,74,89,77,66,92,78
2019-09-29,81,87,75,71,77,68,69,75,77
2019-10-06,89,89,69,65,89,71,100,84,77
2019-10-13,87,88,59,73,74,70,66,79,79
2019-10-20,88,88,62,80,76,72,65,72,81
2019-10-27,94,93,63,85,85,73,63,80,85
2019-11-03,93,92,28,80,73,78,67,78,89
2019-11-10,94,90,45,78,72,84,62,68,88
2019-11-17,96,90,62,95,80,77,71,83,79
2019-11-24,93,92,55,76,70,94,63,84,78
2019-12-01,81,87,79,88,75,64,63,73,79
2019-12-08,87,86,64,96,91,86,57,82,94
2019-12-15,80,77,36,85,74,75,48,64,71
2019-12-22,65,73,38,76,85,61,29,58,59
2019-12-29,70,74,48,82,90,75,39,83,76
2020-01-05,85,88,50,81,96,76,60,91,79
2020-01-12,93,95,81,85,94,77,68,100,83
2020-01-19,100,98,62,78,96,78,73,82,89
2020-01-26,91,100,67,91,79,100,95,79,81
2020-02-02,95,90,67,99,89,83,71,94,100
2020-02-09,86,91,61,80,80,73,69,86,92
2020-02-16,84,92,55,83,85,94,62,65,80
2020-02-23,90,95,63,80,71,95,66,75,97
2020-03-01,90,95,100,100,100,77,71,98,77
2020-03-08,88,86,36,85,79,83,62,74,67
2020-03-15,81,80,55,65,51,94,47,61,43
2020-03-22,88,87,24,79,75,96,54,66,45
2020-03-29,79,83,52,71,82,74,56,69,55
2020-04-05,86,76,37,77,73,77,54,52,44
2020-04-12,95,84,47,81,77,87,57,65,55
2020-04-19,82,82,47,78,97,70,55,60,60
2020-04-26,86,79,62,80,83,72,60,66,67
2020-05-03,80,79,47,78,85,88,78,69,63
2020-05-10,83,82,29,85,77,81,58,62,57
2020-05-17,77,82,70,96,78,69,54,75,69
2020-05-24,72,79,39,98,70,71,54,71,58
2020-05-31,72,82,49,86,65,65,61,64,60
